player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Samet Akaydin,133305.0,Turkey,TR,CB,55,1-6M€,82,43,84,62,40,51,44,1.0,0.24565445,0.0,0.0,38.0,0.8947368421052632,0.0,0.0,9.0,16.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Finition', 'Précision passe']","['Jeu de passe', 'Travail défensif', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['UEFA Euro 2024']
Arne Engels,40167.0,Augsburg,EU,CM,55,1-6M€,93,41,41,60,40,45,42,0.0,0.082670294,0.0,0.0,19.0,0.8947368421052632,0.0,0.0,8.0,6.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['Bundesliga 2023/24']
Aridane Hernández Umpiérrez,24212.0,Osasuna,EU,CB,55,1-6M€,62,44,40,62,40,47,44,0.0,0.0,0.0,0.0,37.0,0.8918918918918919,0.0,0.0,5.0,23.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['La Liga 2020/21']
Arda Güler,116587.0,Turkey,TR,RW,55,1-6M€,18,51,41,61,66,52,48,0.0,0.048656276,0.0,0.0,51.0,0.8431372549019608,3.0,2.0,18.0,22.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['UEFA Euro 2024']
Antony Matheus dos Santos,25363.0,Brazil,BR,LW,55,1-6M€,23,45,40,64,59,43,42,0.0,0.009657804,0.0,0.0,15.0,1.0,2.0,1.0,5.0,3.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['FIFA World Cup 2022']
Anton Stach,48644.0,Hoffenheim,EU,CDM,55,1-6M€,69,43,40,55,40,52,44,0.0,0.030083178,0.0,0.0,33.0,0.7575757575757576,0.0,0.0,10.0,15.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Anthony Losilla,9089.0,Bochum,EU,CDM,55,1-6M€,48,41,40,51,40,50,41,0.0,0.0,0.0,0.0,14.0,0.7142857142857143,0.0,0.0,7.0,7.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Anthony Lopes,2947.0,Lyon,EU,GK,55,1-6M€,82,46,40,53,40,44,43,0.0,0.0,0.0,0.0,36.0,0.6944444444444444,0.0,0.0,0.0,30.0,"['4-3-3', '4-4-2', '3-5-2']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Relance au pied', 'Distribution longue']",['Ligue 1 2022/23']
Ante Budimir,8654.0,Osasuna,EU,ST,55,1-6M€,30,40,41,55,40,47,41,0.0,0.072080754,0.0,0.0,10.0,0.8,0.0,0.0,10.0,2.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Attaque directe', 'Pressing avant', 'Profondeur']",['La Liga 2020/21']
Ajdin Hrustic,8859.0,Australia,EU,ST,55,1-6M€,31,50,40,55,56,55,45,0.0,0.033247408,0.0,0.0,23.0,0.782608695652174,4.0,1.0,23.0,6.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Attaque directe', 'Pressing avant', 'Profondeur']",['FIFA World Cup 2022']
Azzedine Ounahi,46258.0,Marseille,EU,ST,55,1-6M€,59,42,40,60,72,43,40,0.0,0.0,0.0,0.0,11.0,0.9090909090909092,1.0,1.0,4.0,2.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Attaque directe', 'Pressing avant', 'Profondeur']",['Ligue 1 2022/23']
Aymen Dahmen,105943.0,Tunisia,EU,GK,55,1-6M€,87,44,40,50,40,44,41,0.0,0.0,0.0,0.0,23.0,0.6521739130434783,0.0,0.0,0.0,19.0,"['4-3-3', '4-4-2', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Relance au pied', 'Distribution longue']",['FIFA World Cup 2022']
Andrej Kramarić,5460.0,Hoffenheim,EU,CM,55,1-6M€,60,41,53,54,40,43,43,0.0,0.12478229,0.0,0.0,22.0,0.7727272727272727,0.0,0.0,4.0,6.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['Bundesliga 2023/24']
Robert Skov,16294.0,Denmark,DK,LB,55,1-6M€,49,46,40,54,59,45,42,0.0,0.0,0.0,0.0,21.0,0.7619047619047619,2.0,1.0,2.0,6.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['FIFA World Cup 2022']
Robert Kenedy Nunes do Nascimento,3666.0,Granada,EU,LW,55,1-6M€,42,45,52,40,74,44,40,0.0,0.011698737,0.0,0.0,3.0,0.3333333333333333,2.0,2.0,6.0,1.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,['Dribble réussi'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['La Liga 2020/21']
Riley McGree,33477.0,Australia,EU,ST,55,1-6M€,76,45,46,56,72,68,52,0.0,0.049720664,0.0,0.0,52.0,0.75,1.0,1.0,43.0,14.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Finition']","['Attaque directe', 'Pressing avant', 'Profondeur']",['FIFA World Cup 2022']
Richarlison de Andrade,3280.0,Brazil,BR,ST,55,1-6M€,21,40,75,58,40,48,43,2.0,0.68382945,0.0,0.0,14.0,0.8571428571428571,0.0,0.0,12.0,3.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Dribble']","['Attaque directe', 'Pressing avant', 'Profondeur']",['FIFA World Cup 2022']
Ricardo Iván Rodríguez Araya,5544.0,Switzerland,CH,LB,55,1-6M€,52,45,40,50,40,45,45,0.0,0.0,0.0,0.0,50.0,0.62,0.0,0.0,2.0,25.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['FIFA World Cup 2022']
Remo Freuler,6983.0,Switzerland,CH,CDM,55,1-6M€,42,46,63,47,59,55,44,1.0,0.24993332,0.0,0.0,23.0,0.6086956521739131,2.0,1.0,15.0,7.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Dribble']","['Double pivot', 'Récupération', 'Bloc bas']",['FIFA World Cup 2022']
Romain Del Castillo,7322.0,Stade Brestois,EU,LM,55,1-6M€,17,48,41,56,45,52,47,0.0,0.047006607,0.0,0.0,44.0,0.7727272727272727,2.0,0.0,19.0,16.0,"['4-4-2', '4-2-3-1']",4-4-2,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Ailier rentrant', 'Contre-attaque']",['Ligue 1 2022/23']
Rodrygo Silva de Goes,25104.0,Brazil,BR,CAM,55,1-6M€,90,45,47,58,45,43,41,0.0,0.088418866,0.0,0.0,14.0,0.8571428571428571,2.0,0.0,4.0,3.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['FIFA World Cup 2022']
