player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Matías Vecino Falero,5255.0,Uruguay,EU,CM,55,1-6M€,81,45,52,57,43,47,44,0.0,0.052239094,0,0,40.0,0.825,2.0,0.0,13.0,14.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['FIFA World Cup 2022']
Mert Müldür,10826.0,Turkey,TR,RWB,55,1-6M€,54,41,40,50,40,50,43,0.0,0.0,0,0,26.0,0.6923076923076923,0.0,0.0,9.0,6.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Piston droit', '3 derrière', 'Transitions']",['UEFA Euro 2024']
Nadiem Amiri,8403.0,FSV Mainz 05,EU,CDM,55,1-6M€,22,47,40,56,73,55,46,0.0,0.04142683,0,2,57.0,0.7719298245614035,2.0,2.0,20.0,27.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passes progressives', 'Dribble réussi']","['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Nabil Fekir,2948.0,Real Betis,ES,CAM,55,1-6M€,38,42,52,57,40,50,44,0.0,0.02668288,1,1,29.0,0.8275862068965517,0.0,0.0,20.0,12.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['La Liga 2020/21']
Nabil Bentaleb,8520.0,Angers,EU,CDM,55,1-6M€,86,47,40,64,58,55,49,0.0,0.0,0,0,74.0,0.9324324324324325,2.0,1.0,19.0,23.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Précision passe', 'Passes progressives']","['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['Ligue 1 2022/23']
Martín Aguirregabiria Padilla,6618.0,Deportivo Alavés,EU,RB,55,1-6M€,54,40,40,48,40,46,40,0.0,0.0,0,0,9.0,0.6666666666666666,0.0,0.0,4.0,1.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['La Liga 2020/21']
Martín Zubimendi Ibáñez,24921.0,Spain,ES,CDM,55,1-6M€,13,43,40,60,71,48,43,0.0,0.0,0,1,28.0,0.8928571428571429,1.0,1.0,8.0,11.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['UEFA Euro 2024']
Marvin Ducksch,12299.0,Werder Bremen,EU,ST,55,1-6M€,45,41,40,50,40,50,42,0.0,0.0,0,0,19.0,0.6842105263157895,0.0,0.0,20.0,7.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Attaque directe', 'Pressing avant', 'Profondeur']",['Bundesliga 2023/24']
Maximiliano Javier Araújo Vilches,35492.0,Uruguay,EU,LW,55,1-6M€,15,50,54,51,54,72,56,1.0,0.463212098,0,4,77.0,0.6623376623376623,4.0,1.0,61.0,21.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Passes progressives', 'Passes clés']","['Jeu de passe', 'Finition', 'Dribble']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['Copa America 2024']
N'Golo Kanté,3961.0,France,FR,CM,55,1-6M€,93,45,52,64,40,54,53,0.0,0.076374052,0,1,104.0,0.8846153846153846,0.0,0.0,27.0,37.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['UEFA Euro 2024']
